Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
220,Kevin Kiermaier,34,2TM,2LG,113,82,57,722.1,235,230,2,3,1,.987,4,7,10,17,2.89,2.26,2.05,2.22,,,,,,,*8H/9D,,kiermke01
220,Kevin Kiermaier,34,TOR,AL,81,63,47,550.1,171,167,1,3,0,.982,0,-1,9,20,2.75,2.27,2.07,2.24,,,,,,,8/H9D,,kiermke01
220,Kevin Kiermaier,34,LAD,NL,32,19,10,172.0,64,63,1,0,1,1.000,4,30,1,7,3.35,2.21,2.00,2.18,,,,,,,8/H,,kiermke01
221,Ryan Jeffers,27,MIN,AL,86,81,76,720.1,786,749,31,6,0,.992,-3,-5,-4,-7,9.75,9.16,9.07,9.03,3,28,59,12,16.9,0,2DH,,jeffery01
222,Emmanuel Rivera,28,2TM,2LG,116,76,57,715.0,272,137,131,4,20,.985,-5,-8,-5,-8,3.37,3.32,2.20,3.42,,,,,,,53H/1D,,riverem01
222,Emmanuel Rivera,28,MIA,NL,91,59,47,549.1,211,96,112,3,17,.986,0,0,0,0,3.41,3.27,2.21,3.24,,,,,,,53H/1D,,riverem01
222,Emmanuel Rivera,28,BAL,AL,25,17,10,165.2,61,41,19,1,3,.984,-5,-37,-5,-36,3.26,3.48,2.14,4.01,,,,,,,5/3HD,,riverem01
223,Carlos Correa,29,MIN,AL,84,84,76,712.1,293,119,169,5,26,.983,4,7,-3,-5,3.64,3.70,3.43,3.65,,,,,,,6/DH,AS,correca01
224,Travis d'Arnaud,35,ATL,NL,89,79,74,706.2,744,716,25,3,3,.996,2,3,-6,-10,9.44,9.06,8.33,8.94,2,18,55,13,19.1,0,2H,,darnatr01
225,Ramón Urías,30,BAL,AL,96,75,67,702.2,190,58,126,6,12,.968,-4,-7,-3,-5,2.36,2.58,1.88,2.60,,,,,,,5/H4D3,,uriasra01
226,Mitch Haniger,33,SEA,AL,90,80,65,702.1,171,162,4,5,0,.971,3,5,-1,-2,2.13,2.27,1.84,2.24,,,,,,,9DH,,hanigmi01
227,David Hamilton,26,BOS,AL,94,78,55,699.2,330,115,205,10,40,.970,-2,-3,4,7,4.12,3.80,3.17,3.75,,,,,,,64H,,hamilda03
228,James Wood,21,WSN,NL,79,79,77,697.2,137,129,4,4,1,.971,-1,-2,-7,-12,1.72,2.21,1.68,2.18,,,,,,,7,,woodja03
229,Gavin Sheets,28,CHW,AL,88,84,61,695.1,376,346,28,2,29,.995,-7,-12,-7,-12,4.84,5.24,4.25,5.02,,,,,,,93DH,,sheetga01
230,Will Brennan,26,CLE,AL,98,79,50,694.0,161,157,2,2,0,.988,1,1,-6,-10,2.06,2.27,1.62,2.24,,,,,,,97HD/8,,brennwi02
231,Jeimer Candelario,30,CIN,NL,80,79,68,689.2,327,220,96,11,26,.966,-10,-17,-10,-17,4.12,4.50,3.67,4.62,,,,,,,53D/H,,candeje01
232,Manuel Margot,29,MIN,AL,113,68,38,688.1,166,163,0,3,0,.982,2,4,-3,-5,2.13,2.27,1.44,2.24,,,,,,,*79H8/D,,margoma01
233,Adam Duvall,35,ATL,NL,91,74,68,685.0,157,151,4,2,0,.987,-7,-12,-3,-5,2.04,2.21,1.70,2.18,,,,,,,79H/D,,duvalad01
234,Bo Bichette,26,TOR,AL,81,81,72,684.1,242,76,159,7,35,.971,-3,-5,-3,-5,3.09,3.70,2.90,3.65,,,,,,,6,,bichebo01
235,Starling Marte,35,NYM,NL,85,80,62,680.1,146,138,6,2,2,.986,-15,-26,-6,-11,1.90,2.21,1.69,2.18,,,,,,,9/DH,,martest01
236,Ildemaro Vargas,32,WSN,NL,92,71,55,679.1,239,100,133,6,32,.975,-3,-5,-3,-5,3.09,3.19,2.22,3.12,,,,,,,547H/613D,,vargail01
237,TJ Friedl,28,CIN,NL,82,79,69,678.0,198,192,3,3,1,.985,1,2,-5,-9,2.59,2.21,2.38,2.18,,,,,,,8/HD,,friedtj01
